update,exp_num,ahhh,ahhs,ahhb,ahss,ahbb,ahbs,abhh,abhs,abhb,abss,abbs,abbb,ashh,ashs,ashb,asss,asbb,asbs
0,1,74.5,75.5,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0
0,2,75,1.25,0,75,0,0,0,0.25,0,0,75,0,0,73.5,0,0,0,0
0,3,73.25,76.75,0,75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,74.5
0,4,18.5,131.5,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0
0,5,75,0,0,75,0,75,0,0,0,0,0,0,0,75,0,0,0,0
0,6,73.75,5,0,146.25,0,75,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,3.25,0,0.25,0,0,4.5,51.5,0,0,0,0,2,88.5,0,75,0,75
0,8,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,75
0,9,75,0,0,75,0,75,0,0,0,0,0,0,0,75,0,0,0,0
0,10,73.5,1.5,0,75,0,75,0,3,0,72,0,0,0,0,0,0,0,0
0,11,0,0,0,75,0,75,75,75,0,0,0,0,0,0,0,0,0,0
0,12,75,75,0,75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,74.75
0,13,73.25,1.75,0,1.5,0,75,0,0,0,0,0,0,0,1,0,147.5,0,0
0,14,75,0,0,75,0,0.75,0,75,0,0,74.25,0,0,0,0,0,0,0
0,15,73.25,1.75,0,0,0,1,0,0,0,0,74,0,0,2.25,0,147.75,0,0
0,16,73.25,5,0,146.75,0,75,0,0,0,0,0,0,0,0,0,0,0,0
0,17,70.75,3.25,0,72.75,0,75,0.25,0,0,74,0,0,4,0,0,0,0,0
0,18,72.25,6,0,136.75,0,75,0,0,0,0,0,0,0,0,0,10,0,0
0,19,74,75.75,0,75.25,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0,20,25.25,124.75,0,75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,74.75
0,21,0.75,0,0,0.5,0,75,43,31.25,0,74.5,0,0,0,3.25,0,71.75,0,0
0,22,31.5,0.25,0,0,0,75,43.5,74.75,0,0,0,0,0,0,0,75,0,0
0,23,0,75,0,75,0,75,73.75,1.25,0,0,0,0,0,0,0,0,0,0
0,24,75,1.75,0,148.25,0,75,0,0,0,0,0,0,0,0,0,0,0,0
0,25,72.75,2.25,0,75,0,56.25,0,0,0,0,18.75,0,0,75,0,0,0,0
0,26,0,1.5,0,59,0,0,75,1.75,0,87.75,0,0,0,0,0,0,0,75
0,27,73.25,76.75,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0
