update,exp_num,ahhh,ahhs,ahhb,ahss,ahbb,ahbs,abhh,abhs,abhb,abss,abbs,abbb,ashh,ashs,ashb,asss,asbb,asbs
0,1,74.5,75.5,0,0,0,0,0,75,0,0,0,0,0,0,0,75,0,0
0,2,75,1.25,0,73.5,0,0.25,0,0,0,0,75,0,0,75,0,0,0,0
0,3,73.25,76.75,0,0,0,0,0,0.5,0,74.5,0,0,0,75,0,0,0,0
0,4,18.5,131.5,0,0,0,0,0,75,0,0,0,0,0,0,0,75,0,0
0,5,75,0,0,75,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,6,73.75,5,0,0,0,0,0,75,0,0,0,0,0,146.25,0,0,0,0
0,7,0,5.25,4.5,88.5,0,51.5,0,0,0,75,0,0,0,0.25,0,75,0,0
0,8,75,75,0,0,0,0,0,0,0,75,0,0,0,0,0,75,0,0
0,9,75,0,0,75,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,10,73.5,1.5,0,0,0,3,0,75,0,0,0,0,0,75,0,0,0,72
0,11,0,0,75,0,0,75,0,75,0,0,0,0,0,75,0,0,0,0
0,12,75,75,0,0,0,0,0,0.25,0,74.75,0,0,0,75,0,0,0,0
0,13,73.25,1.75,0,1,0,0,0,75,0,0,0,0,0,1.5,0,147.5,0,0
0,14,75,0,0,0,0,75,0,0.75,0,0,74.25,0,0,75,0,0,0,0
0,15,73.25,1.75,0,2.25,0,0,0,1,0,0,74,0,0,0,0,147.75,0,0
0,16,73.25,5,0,0,0,0,0,75,0,0,0,0,0,146.75,0,0,0,0
0,17,70.75,7.25,0.25,0,0,0,0,75,0,0,0,0,0,72.75,0,0,0,74
0,18,72.25,6,0,0,0,0,0,75,0,0,0,0,0,136.75,0,10,0,0
0,19,74,75.75,0,0,0,0,0,0,0,75,0,0,0,75.25,0,0,0,0
0,20,25.25,124.75,0,0,0,0,0,0.25,0,74.75,0,0,0,75,0,0,0,0
0,21,0.75,0,43,3.25,0,31.25,0,75,0,0,0,0,0,0.5,0,71.75,0,74.5
0,22,31.5,0.25,43.5,0,0,74.75,0,75,0,0,0,0,0,0,0,75,0,0
0,23,0,75,73.75,0,0,1.25,0,75,0,0,0,0,0,75,0,0,0,0
0,24,75,1.75,0,0,0,0,0,75,0,0,0,0,0,148.25,0,0,0,0
0,25,72.75,2.25,0,75,0,0,0,56.25,0,0,18.75,0,0,75,0,0,0,0
0,26,0,1.5,75,0,0,1.75,0,0,0,75,0,0,0,59,0,0,0,87.75
0,27,73.25,76.75,0,0,0,0,0,75,0,0,0,0,0,75,0,0,0,0
1,1,0,0,0,0,0,0,0,225,75,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,75,75,0,150,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,150,0,75,0,75,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,77,75,148,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,75.25,75,149.75,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,75,75,75,75,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,75,75,0,150,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,225,0,0,75,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,150,75,0,75,0,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,70.25,65,75,89.75,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,225,72.75,0,2,0.25,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,221.25,75,3.5,0.25,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,150,75,19,56,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,225,0,0,75,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,150,75,75,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,150,0,75,75,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,150,0,0,150,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,77.25,75,147.75,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,150.75,75,74.25,0,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,150,75,0,75,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,150.25,0.25,0,149.5,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,150,1.75,75,73.25,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,42.75,75,107.25,75,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,151.5,75,0,73.5,0,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,150,0.25,75,74.75,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,150,0,75,75,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,225,0,0,0,0,0,0,1,0,0,74
2,2,0,0,0,0,0,0,0,75,0,150,75,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,215.25,0,11.25,0,0,0,0,0,73.5,0,0
2,4,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,75,0,0
2,5,0,0,0,0,0,0,0,140.5,0,84.5,0,0,0,0,0,0.75,0,74.25
2,6,0,0,0,0,0,0,0,75,0,75,75,0,0,0,75,0,0,0
2,7,0,0,0,0,0,0,0,150,0,75,0,0,0,0,0,75,0,0
2,8,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,75,0,0
2,9,0,0,0,0,0,0,0,1,0,299,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,75,0,94,56,0,0,0,0,75,0,0
2,11,0,0,0,0,0,0,0,0,0,225,0,0,0,0,75,0,0,0
2,12,0,0,0,0,0,0,0,1,0,299,0,0,0,0,0,0,0,0
2,13,0,0,0,0,0,0,0,123.5,0,32.75,68.75,0,0,75,0,0,0,0
2,14,0,0,0,0,0,0,0,75,0,150,0,0,0,0,0,0.5,0,74.5
2,15,0,0,0,0,0,0,0,75,0,169.25,55.75,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0.25,0,150,74.75,0,0,75,0,0,0,0
2,17,0,0,0,0,0,0,0,150,0,76.5,0,0,0,0,0,73.5,0,0
2,18,0,0,0,0,0,0,0,86,0,75,139,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0,75,0,151.5,0,0,0,0,0,73.5,0,0
2,20,0,0,0,0,0,0,0,75.5,0,149.5,0,0,0,75,0,0,0,0
2,21,0,0,0,0,0,0,0,150,0,75,0,0,0,75,0,0,0,0
2,22,0,0,0,0,0,0,0,151,0,75,0,0,0,74,0,0,0,0
2,23,0,0,0,0,0,0,0,75,0,94,56,0,0,0.5,74.5,0,0,0
2,24,0,0,0,0,0,0,0,1.5,0,148.5,75,0,0,75,0,0,0,0
2,25,0,0,0,0,0,0,0,0,0,225.5,1,0,0,0,0,0,0,73.5
2,26,0,0,0,0,0,0,0,151.25,0.25,74.75,0,0,0,0,73.75,0,0,0
2,27,0,0,0,0,0,0,0,75,0,150,0,0,0,0,0,75,0,0
3,1,0,0,0,0,0,0,0,203.25,0,0,0,0,0,21.75,0,75,0,0
3,2,0,0,0,0,0,0,0,64.5,0,160.5,0,0,0,75,0,0,0,0
3,3,0,0,0,0,0,0,0,0.25,0,199.25,0,0,0,75,0,25.5,0,0
3,4,0,0,0,0,0,0,0,0,0,156.25,56,0,0,75,0,12.75,0,0
3,5,0,0,0,0,0,0,0,122.5,0,103.5,0,0,0,74,0,0,0,0
3,6,0,0,0,0,0,0,0,150,0,77.75,0,0,0,0,0,72.25,0,0
3,7,0,0,0,0,0,0,0,192.75,0,0,0,0,0,32.25,0,75,0,0
3,8,0,0,0,0,0,0,0,52,0,94,56,0,0,98,0,0,0,0
3,9,0,0,0,0,0,0,0,53.5,0,150,0,0,0,85.75,0,10.75,0,0
3,10,0,0,0,0,0,0,0,75.5,0,149.5,0,0,0,0,0,75,0,0
3,11,0,0,0,0,0,0,0,75,0,75.75,74.25,0,0,0,0,75,0,0
3,12,0,0,0,0,0,0,0,151,0,75,0,0,0,74,0,0,0,0
3,13,0,0,0,0,0,0,0,0,0,116,112.25,0,0,0,0,71.75,0,0
3,14,0,0,0,0,0,0,0,75,0,129.25,0,0,0,0,0,95.75,0,0
3,15,0,0,0,0,0,0,0,150.25,0,75,0.75,0,0,0,0,0,0,74
3,16,0,0,0,0,0,0,0,225,0,75,0,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0,217.75,0,75,0,0,0,7.25,0,0,0,0
3,18,0,0,0,0,0,0,0,150.25,0,54.75,0,0,0,72.5,0,20.25,0,2.25
3,19,0,0,0,0,0,0,0,75.25,0,94,55.75,0,0,0,0,75,0,0
3,20,0,0,0,0,0,0,0,75,0,150,0,0,0,0,0,19.25,0,55.75
3,21,0,0,0,0,0,0,0,180.25,0,26.25,73.75,0,0,19.75,0,0,0,0
3,22,0,0,0,0,0,0,0,0,0,187.75,37.25,0,0,75,0,0,0,0
3,23,0,0,0,0,0,0,0,0,0,106,86.5,0,0,0,0,82.25,0,25.25
3,24,0,0,0,0,0,0,0,75.5,0,148.25,1.25,0,0,75,0,0,0,0
3,25,0,0,0,0,0,0,0,150,0,55.25,0,0,0,65.25,0,29.5,0,0
3,26,0,0,0,0,0,0,0,209,0,0,6,0,0,85,0,0,0,0
3,27,0,0,0,0,0,0,0,205,0,0,0,0,0,1.75,0,93.25,0,0
4,1,0,0,0,0,0,0,0,253.5,0,26.75,0,0,0,19.75,0,0,0,0
4,2,0,0,0,0,0,0,0,150,0,127.75,0,0,0,0,0,22.25,0,0
4,3,0,0,0,0,0,0,0,150.25,0,149.75,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,76.75,0,162.5,0,0,0,0,0,60.75,0,0
4,5,0,0,0,0,0,0,0,199.25,0,64.5,0,0,0,25.75,0,10.5,0,0
4,6,0,0,0,0,0,0,0,75,0,225,0,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0,225,0,75,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,183,0,53,37.25,0,0,26.75,0,0,0,0
4,9,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,214.5,0,74.75,0,0,0,10.75,0,0,0,0
4,11,0,0,0,0,0,0,0,125.75,0,89.5,48.75,0,0,26.5,0,2.5,0,7
4,12,0,0,0,0,0,0,0,150.25,0,75,74.75,0,0,0,0,0,0,0
4,13,0,0,0,0,0,0,0,0.25,0,299.75,0,0,0,0,0,0,0,0
4,14,0,0,0,0,0,0,0,130.75,0,131.75,37.5,0,0,0,0,0,0,0
4,15,0,0,0,0,0,0,0,75,0,149.75,26.25,0,0,0,0,19.25,0,29.75
4,16,0,0,0,0,0,0,0,75.25,0,150,61.5,0,0,0,0,0,0,13.25
4,17,0,0,0,0,0,0,0,75,0,166.75,0,0,0,0,0,58.25,0,0
4,18,0,0,0,0,0,0,0,150,0,56.75,93.25,0,0,0,0,0,0,0
4,19,0,0,0,0,0,0,0,260.75,0,19.75,0,0,0,19.5,0,0,0,0
4,20,0,0,0,0,0,0,0,215.75,0,0.25,74.75,0,0,9.25,0,0,0,0
4,21,0,0,0,0,0,0,0,68.75,0,171.25,44,0,0,0,0,4,0,12
4,22,0,0,0,0,0,0,0,118,0,140,0,0,0,32.25,0,9.75,0,0
4,23,0,0,0,0,0,0,0,0.25,0,241.5,55.75,0,0,0,0,2.5,0,0
4,24,0,0,0,0,0,0,0,190.25,0,78.5,0.25,0,0,31,0,0,0,0
4,25,0,0,0,0,0,0,0,272.25,0,18.75,0,0,0,9,0,0,0,0
4,26,0,0,0,0,0,0,0,225,0,75,0,0,0,0,0,0,0,0
4,27,0,0,0,0,0,0,0,200.75,0,62.75,0,0,0,26,0,10.5,0,0
5,1,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,75,0,0
5,2,0,0,0,0,0,0,0,75,0,150,0,0,0,75,0,0,0,0
5,3,0,0,0,0,0,0,0,75,0,36,105.5,0,0,75,0,2.25,0,6.25
5,4,0,0,0,0,0,0,0,52,0,147,2.25,0,0,27,0,71.75,0,0
5,5,0,0,0,0,0,0,0,122.75,0,75,0,0,0,3,0,99.25,0,0
5,6,0,0,0,0,0,0,0,75,0,145.25,0,0,0,0,0,24,0,55.75
5,7,0,0,0,0,0,0,0,150,0,19,56,0,0,0,0,19.25,0,55.75
5,8,0,0,0,0,0,0,0,75,0,131,0.25,0,0,0,0,38.25,0,55.5
