update,exp_num,ahhh,ahhs,ahhb,ahss,ahbb,ahbs,abhh,abhs,abhb,abss,abbs,abbb,ashh,ashs,ashb,asss,asbb,asbs
0,1,74.5,0,0,0,0,0,0,0,0,0,0,0,75.5,0,75,75,0,0
0,2,75,0,0,0,0,0,0,0,0,0,0,0,1.25,148.5,0.25,0,75,0
0,3,73.25,0,0,0,0,0,0,0,0,0,0,0,76.75,75,0.5,0,0,74.5
0,4,18.5,0,0,0,0,0,0,0,0,0,0,0,131.5,0,75,75,0,0
0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,150,75,0,0,0
0,6,73.75,0,0,0,0,0,0,0,0,0,0,0,5,146.25,75,0,0,0
0,7,0,2,4.5,0,0,0,0,0,0,0,0,0,3.25,88.75,51.5,75,0,75
0,8,75,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,0,75
0,9,75,0,0,0,0,0,0,0,0,0,0,0,0,150,75,0,0,0
0,10,73.5,0,0,0,0,0,0,0,0,0,0,0,1.5,75,78,0,0,72
0,11,0,0,75,0,0,0,0,0,0,0,0,0,0,75,150,0,0,0
0,12,75,0,0,0,0,0,0,0,0,0,0,0,75,75,0.25,0,0,74.75
0,13,73.25,0,0,0,0,0,0,0,0,0,0,0,1.75,2.5,75,147.5,0,0
0,14,75,0,0,0,0,0,0,0,0,0,0,0,0,75,75.75,0,74.25,0
0,15,73.25,0,0,0,0,0,0,0,0,0,0,0,1.75,2.25,1,147.75,74,0
0,16,73.25,0,0,0,0,0,0,0,0,0,0,0,5,146.75,75,0,0,0
0,17,70.75,4,0.25,0,0,0,0,0,0,0,0,0,3.25,72.75,75,0,0,74
0,18,72.25,0,0,0,0,0,0,0,0,0,0,0,6,136.75,75,10,0,0
0,19,74,0,0,0,0,0,0,0,0,0,0,0,75.75,75.25,0,0,0,75
0,20,25.25,0,0,0,0,0,0,0,0,0,0,0,124.75,75,0.25,0,0,74.75
0,21,0.75,0,43,0,0,0,0,0,0,0,0,0,0,3.75,106.25,71.75,0,74.5
0,22,31.5,0,43.5,0,0,0,0,0,0,0,0,0,0.25,0,149.75,75,0,0
0,23,0,0,73.75,0,0,0,0,0,0,0,0,0,75,75,76.25,0,0,0
0,24,75,0,0,0,0,0,0,0,0,0,0,0,1.75,148.25,75,0,0,0
0,25,72.75,0,0,0,0,0,0,0,0,0,0,0,2.25,150,56.25,0,18.75,0
0,26,0,0,75,0,0,0,0,0,0,0,0,0,1.5,59,1.75,0,0,162.75
0,27,73.25,0,0,0,0,0,0,0,0,0,0,0,76.75,75,75,0,0,0
